NewsID,Category,Subcategory,Title
N61358,health,nutrition,food actually help prevent gray hair
N48632,finance,personalfinance,much must earn top state
N57699,health,wellness,ahad israfil gunshot wound survivor dy
N27214,foodanddrink,recipes,super delicious fall soup made scratch try including pumpkin
N25174,weather,weathertopstories,winter storm warning metro denver boulder update
N51426,music,musicnews,kanye west jesus king album still here fan happy
N41013,news,newsopinion,doug schoen hillary v trump clinton serious best way defeat president
N19888,sports,football_nfl,titan force turnover winston hold buccaneer
N45191,lifestyle,shop-all,amazon say funniest customer review
N60535,sports,football_nfl,josh gordon new patriot receiver mohamed sanu share laugh practice
N47600,lifestyle,causes,people told daughter disability would able everything today
N35318,news,newsoffbeat,illegal leave pumpkin outside maricopa county
N11360,health,nutrition,much water need drink weight loss
N13566,lifestyle,lifestylepetsanimals,least expensive dog breed
N24417,sports,basketball_nba,cavs could put claim alfonzo mckinnie surprising release warrior
N59891,news,newsworld,maryland police id man killed crash semi hauling beer
N30236,sports,tennis,american teenager gauff reach maiden wta final linz
N64593,health,nutrition,avocado day could lower bad cholesterol level reduce risk heart disease
N45970,news,newsworld,latest house measure condemns trump syria withdrawal
N54542,autos,autosnews,police searching thief stealing car atlanta airport
N30290,foodanddrink,restaurantsandnews,real reason mcdonald keep filet o fish menu
N51844,foodanddrink,recipes,thanksgiving menu make november much easier
N7992,travel,travelnews,stay giant guitar shaped hotel see believe
N49374,lifestyle,lifestyleroyals,princess beatrice fashion hit miss year
N14176,foodanddrink,videos,blueberry dump cake satisfies every sweet tooth
N60584,health,weightloss,grueling workout may help lose belly fat
N10,health,weight-loss,running workout weight loss
N46830,video,news,this normal sen manchin reacts vindman attack
N41147,entertainment,gaming,sony p feature could end playstation v xbox battle
N61914,finance,finance-career,great job retiree
N21253,lifestyle,lifestylecareer,incredible research backed benefit passion outside work
N24905,news,newspolitics,grieder special election house district portends deeply polarized election cycle
N65207,health,health-news,tennessee deadliest year yet drug overdoses nearby state improve
N16430,video,animals,rare albino hedgehog rescued california
N35616,finance,markets,employer helping worker pay student loan
N23386,lifestyle,voices,american moved canada i ll never move back
N43484,lifestyle,shop-holidays,top holiday gift woman flying shelf
N59794,lifestyle,lifestyledidyouknow,thing probably baby boomer remember
N15483,health,medical,national check med day
N62736,entertainment,gaming,best horror game time
N35080,finance,finance-top-stocks,excellent dividend stock buy holiday season
N19146,finance,finance-taxes,and least tax friendly state retiree
N17041,music,musicnews,eagle soar perform hotel california first time entirety la vega
N48072,news,newsus,sacramento police look driver deadly hit and run
N18287,foodanddrink,restaurantsandnews,mcdonald szechuan sauce popeyes sandwich out of control fast food menu launch shook america core
N41146,finance,financenews,gm spring hill could ramp output soon union leader laud stand national strike
N31161,sports,baseball_mlb,astros lot baseball left despite two bad loss national
N37461,lifestyle,lifestyleroyals,queen elizabeth trolled group tourist recognize balmoral castle
N39490,travel,travelarticle,lenape protest groundbreaking passaic new dundee island park say isacred ground
N8691,autos,autosenthusiasts,bugatti chiron super sport briefly went airborne record run
N26444,sports,more_sports,cincinnati v uconn football history
N30868,health,nutrition,spot common sneaky food contain gluten
N56406,autos,autosnews,bicyclist struck train beverly delay newburyport rockport line
N56618,news,newspolitics,cnn msnbc hit ingraham guest accusing white house official testifying impeachment inquiry espionage
N5373,lifestyle,lifestylemindandsoul,spooky quote get halloween mood nothing
N36464,autos,autosnews,portion i reopened two killed head on collision osp chase euclid
N38308,health,medical,sneaky sign unhealthier may think
N12440,movies,movievideo,trailer one last night
N2540,video,news,pakistan pm reveals told prince william lunch
N42716,lifestyle,voices,troll told ugly post pic something incredible happened
N39638,finance,finance-retirement,want retire live rv full time thing need know
N24900,sports,mma,bare knuckle knockout watch gabriel gonzaga whup bigfoot silva tampa
N9947,finance,finance-career-education,job skill worth six figure salary
N25567,movies,movies-celebrity,fast furious director rob cohen accused sexual assault
N25205,lifestyle,lifestyleroyals,hilarious photo prove kate middleton like u
N61681,lifestyle,lifestylehomeandgarden,electric wiring fails make wince
N59709,sports,football_nfl,adrian peterson hold back tear return minnesota
N57930,lifestyle,voices,quit glamorous corporate job travel world
N9013,news,newsscienceandtechnology,southwest flight attendant alleges pilot live streamed video camera lavatory
N15651,finance,finance-real-estate,penthouse nyc woolworth building got million price cut check the pinnacle occupies top floor iconic green roofed skyscraper
N63682,lifestyle,lifestylecareer,life changing career tip navy seal
N51784,sports,racing,martin truex jr year
N41869,foodanddrink,tipsandtricks,turkey cooking tip guarantee perfect bird
N13882,sports,football_nfl,adrian peterson hold back tear return minnesota
N6258,lifestyle,lifestyledecor,room divider idea transform home instant
N27641,video,news,buttigieg not going get middle hillary clinton attack tulsi gabbard
N50246,news,newsus,quit job moved alaska bake bread rebuilt identity
N60798,foodanddrink,recipes,turkey sandwich recipe thanksgiving leftover
N37423,weather,weathertopstories,suez say lead level meet federal standard round
N23937,lifestyle,lifestyleroyals,gorgeous royal family heirloom kate middleton wear regularly
N43734,sports,racing,power ranking kyle busch putting piece together favorable round
N11593,finance,finance-billstopay,millennials get wrong social security
N27715,lifestyle,shop-all,need perfect last minute gift got covered
N23874,movies,movies-celebrity,celebrity hollywood hand footprint ceremony
N3565,sports,football_nfl,wolverine nfl top performance week
N26766,autos,autosnews,tanker truck burst flame following crash warren county
N61203,lifestyle,lifestylecelebstyle,zendaya nicole kidman best dressed star elle woman hollywood event
N1244,lifestyle,lifestylebuzz,billion fewer bird north america
N9774,sports,basketball_nba,man accused hatchet attack charged attempted murder
N10538,news,newscrime,year old killed arlington shooting police say
N20833,travel,traveltripideas,scotland majestic isle skye
N5815,finance,finance-savemoney,costco bargain store stay cheap
N46851,autos,autosnews,famous automotive advertising slogan u edition
N59874,lifestyle,lifestylesmartliving,phrase make successful work
N19513,finance,markets,best worst stock data era morgan stanley say
N3649,lifestyle,lifestylebuzz,know amazon coupon step by step guide help instantly save
N6632,entertainment,celebrity,star track celebs vacation
N28561,news,newsweather,nestor bringing heavy rain southeast mid atlantic spawning tornado florida
N25024,sports,more_sports,sport air daily tv radio schedule
N41208,finance,finance-saving-investing,retiree make required minimum distribution pain free
N61178,entertainment,celebrity,star track celebs home
N4015,video,popculture,following trump endorsement spicer emotional night dancing star
N4586,autos,autosbuying,chevy equinox discounted percent november
N32515,lifestyle,lifestyleweddings,iconic short wedding dress time get look
N4147,music,musicnews,jos jos legendary mexican singer dead
N58146,lifestyle,lifestylepetsanimals,wild dog cat specie amazingly rare
N34122,foodanddrink,beverages,make hot chocolate rich coat spoon
N3528,lifestyle,lifestylefamilyandrelationships,thing spouse ever want hear
N39809,sports,football_nfl,redskin rumor bruce allen pick phone trade trent williams brown could go shopping lt nfc east
N1810,lifestyle,lifestyleroyals,royal reside handy guide tell life palace
N14042,autos,autosnews,latest automotive safety recall
N12081,lifestyle,lifestyleroyals,time meghan markle broken royal protocol
N58073,travel,travelarticle,crew spray golden ray cargo ship white smoke billow
N27287,autos,autosnews,u s army developing better bullet
N48549,sports,basketball_nba,heat suspend dion waiter one game conduct detrimental team
N52529,sports,football_ncaa,connor barwin nfl retirement announced former uc bearcat standout
N16077,sports,football_ncaa,best college gameday sign memphis
N27063,lifestyle,lifestyledidyouknow,abandoned place see picture
N13305,finance,finance-saving-investing,small investor buying index fund bubble argument
N7348,news,newsscienceandtechnology,best water bottle make want drink water
N49134,sports,racing,matt tifft miss rest season suffering seizure martinsville
N34722,tv,tv-gallery,new lifetime christmas movie air
N5599,sports,football_nfl,nfl rushing title likely go wire
N49830,music,music-gallery,katy perry biggest career moment
N36911,sports,football_nfl,nfl rumor josh gordon fell favor released patriot
N27394,autos,autosenthusiasts,pontiac fiero transformed extreme custom supercar
N65217,news,newsoffbeat,monument circle become big movie screen light saturday work
N49369,music,music-gallery,groundbreaking female rapper changed industry
N64413,foodanddrink,recipes,vegetarian meal idea tasty and perfect christmastime
N37414,music,music-gallery,best hair metal band
N27137,foodanddrink,restaurantsandnews,food truck everyone obsessed state
N34406,news,newspolitics,sen sinema new bill would allow family name put veteran headstone
N9,foodanddrink,restaurantsandnews,check unique eatery formerly known thing
N15254,finance,finance-companies,wework set sack staff anger toward founder adam neumann grows
N33161,weather,weathertopstories,home destroyed dish left intact neighborhood hit hard dallas tornado one city exclusive
N55248,sports,football_ncaa,dallas fort worth football team undefeated week season
N7771,lifestyle,voices,quit instagram three month heal idiot brain
N30781,autos,autosenthusiasts,lowriders vega see lowrider photo la vega super show
N31552,lifestyle,shop-holidays,best pre black friday cyber monday deal
N30344,lifestyle,lifestylebuzz,snakehead fish survives land discovered georgia official want dead
N19490,entertainment,entertainment-celebrity,louisville jennifer lawrence tie knot private ceremony report say
N48774,lifestyle,lifestylehomeandgarden,downsize home easy tip
N39751,foodanddrink,foodnews,costco going start selling better beef burger
N17108,finance,financenews,governor gavin newsom call investigation california gas price
N28035,news,newspolitics,gabbard defiant video link clinton ismears previous sander endorsement
N49198,lifestyle,lifestyledidyouknow,oldest university america
N28442,finance,finance-career-education,job hunting tip baby boomer
N62084,news,newspolitics,house republican try force vote censuring adam schiff
N5754,health,voices,brushed teeth charcoal day mouth looked like end
N60941,foodanddrink,videos,thing know mayonnaise could
N19262,sports,basketball_nba,sun tuesday mark bryant grinding monty williams right coach booker v beverley josh jackson g league
N20723,music,musicvideos,jennifer lopez share beautiful pic alex rodriguez elegant engagement party
N35774,foodanddrink,videos,white stuff raw chicken
N43916,foodanddrink,restaurantsandnews,celebrity restaurant failed
N20513,foodanddrink,recipes,best pie recipe time
N8798,health,wellness,reason breath smell bad
N10376,health,medical,meet scad major cause heart attack woman
N24868,health,weightloss,watch man share time lapse video six month weight loss journey
N7951,news,newsworld,british police investigating truck death arrest more driver still custody
N60467,video,animals,puppy adorably escape pen join doggy friend
N58332,entertainment,celebrity,cat name fruit bizarre thing celebrity tried trademark
N18885,sports,football_nfl,drive michael dickson fulfill hype
N21041,movies,movievideo,trailer midway
N16032,health,weightloss,slow metabolism doctor approved way burn belly fat
N21936,lifestyle,lifestylehomeandgarden,old item fantastically fit repurposing
N27822,news,newsus,plan close rikers island explained
N44133,foodanddrink,newstrends,chicago first krispy kreme year open today
N61079,lifestyle,lifestylesmartliving,elf shelf idea child find truly magical
N55625,lifestyle,lifestylebuzz,child fall th floor balcony white oak maryland official say
N46832,health,causes,tip getting mammogram
N44959,lifestyle,lifestyledidyouknow,tour abandoned outlaw house fbi connection
N17286,sports,baseball_mlb,history say astros chance world series comeback national
N56461,finance,finance-taxes,president trump trillion dollar hit homeowner
N7362,autos,autosnews,might land rover defender
N51425,autos,autosbuying,take auto lease
N20743,lifestyle,lifestylesmartliving,thing woman need stop feeling guilty
N21383,health,medical,doctor want fda warn woman cheese breast cancer link
N30012,travel,traveltripideas,best fall day trip every state
N38397,lifestyle,lifestyleroyals,incredible photo swedish royal family year
N33942,autos,autosenthusiasts,exploring chevy first big block idaho junkyard
N56840,lifestyle,shop-all,ultra luxe bridal shower hostess gift idea
N10122,entertainment,gaming,best o best pc game available today
N50158,travel,traveltripideas,crockett row add bar restaurant also hook big one dallas blue fish
N1586,entertainment,entertainment-books,ann patchett spin dark compelling fairy tale dutch house
N32006,foodanddrink,recipes,easy fall slow cooker recipe taste like autumn
N9900,health,nutrition,best good mood food
N46688,health,nutrition,isouping try it
N6536,foodanddrink,newstrends,best dish eater boston team ate week
N24153,travel,travelarticle,long hard road find story yearlong series
N3570,video,news,grandfather charged fatal child fall
N7182,travel,travelarticle,way enjoy week nashville
N50742,health,health-news,bride got wedding redo losing pound
N25631,health,weightloss,grocery delivery man tipped scale lb loses whopping lb buying food fitter customer carrying bag flight stair
N19028,news,newspolitics,former trump advisor john bolton lawyer contact impeachment probe panel
N51601,lifestyle,lifestylepetsanimals,adorable photo dog cuddling tiger duck animal prove they re man best friend
N38633,sports,racing,action network early pick best value kansa
N11161,video,news,bernie sander slam gop standing trump
N47866,autos,autosnews,mid engined chevy corvette rear end design possibly leaked
N45493,autos,autosnews,bmw inext spied looking almost production ready
N32907,health,healthagingwell,finally sucking getting shape
N17602,health,mentalhealth,reach friend struggling mental health
N65225,sports,racing,channel nascar today time tv schedule kansa race
N49505,tv,tvnews,thing know the crown
N57991,lifestyle,lifestylebuzz,problematic politics style gender identity workplace
N45908,news,newsscienceandtechnology,exclusive favorite all clad cookware right
N54975,sports,baseball_mlb,iowa native veteran mlb umpire eric cooper dead
N42669,movies,movievideo,trailer terminator dark fate
N58551,health,video,texas man loses pound become deputy
N54064,foodanddrink,restaurantsandnews,unique restaurant around world
N46428,finance,finance-billstopay,nearly half millennials debt pet
N4021,lifestyle,lifestyledidyouknow,amazing transgender woman changed history
N59255,movies,movievideo,trailer greener grass
N17430,finance,finance-companies,volkswagen postpones final decision turkey plant
N25604,sports,basketball_nba,warrior russell ejected going official
N63270,travel,travelnews,national weather service visit madison nj
N59271,weather,weathertopstories,large tree fall block least two road morning commute
N59418,health,health-news,woman mental health improves giving alcohol study find
N34242,news,newsus,pa game commission warns hunter take precaution potentially fatal eee virus
N63651,lifestyle,lifestylelovesex,thing people may say want cheat
N37957,sports,football_nfl,bronco film study part ugly joe flacco third
N33458,news,newspolitics,former top state dept aide tell impeachment investigator quit ukraine
N18854,health,wellness,body cbd
N22033,lifestyle,lifestylebuzz,people excited polka dotted zebra baby
N61084,lifestyle,voices,rehomed dog regret
N228,travel,travelnews,stowaway discovered couple carry on luggage
N12987,lifestyle,lifestyledidyouknow,abandoned mansion make toe curl
N20818,autos,autosenthusiasts,used ford gts coming
N31633,news,newspolitics,isi biggest beneficiary graham lash trump syria withdrawal
N4489,sports,baseball_mlb,david ross might shake cub coaching staff hire bench coach
N12676,lifestyle,causes-green-living,pollution around world shocking photo
N42607,lifestyle,lifestylehoroscope,every zodiac sign handle breakup
N18012,news,newsworld,china say postal fee rise u complaint
N33521,health,nutrition,want try intermittent fasting it
N50208,foodanddrink,restaurantsandnews,restaurant eat free birthday
N42908,sports,football_ncaa,tagovailoa no tide roll past no texas a m
N47966,travel,travelnews,original delta airline flight attendant dy
N55337,sports,baseball_mlb,pitch tipping paranoia lingers astros national eye world series
N5485,lifestyle,lifestylecleaningandorganizing,shed storage idea organize space last
N39336,news,newsworld,lebanon protest enter second week
N33371,finance,finance-real-estate,surprising reason florida best bargain home
N16764,lifestyle,shop-apparel,best beauty tool
N732,health,nutrition,popular soda ranked toxic
N31527,video,popculture,voice fan love heartthrob look like combination tom cruise christian bale
N14607,lifestyle,lifestylehoroscope,zodiac sign know they ve found soulmate
N48806,foodanddrink,tipsandtricks,best canned tomato brand taste superior
N43467,news,newsus,man dy following boating accident indiana reservoir
N50299,tv,tv-celebrity,kelly ripa responds backlash son extreme poverty joke
N10220,video,viral,boy leg go viral video skateboarding shared tony hawk
N1734,health,medical,thing probably nurse would
N20106,news,newsworld,remembering rep elijah cummings atatiana jefferson thing know thursday
N57075,news,newsus,matt lauer accuser brooke nevils call response victim blaming
N21311,health,fitness,guy built muscle got shredded s plant based diet
N37736,sports,baseball_mlb,carlos correa took clever swipe yankee alcs victory
N62787,health,weightloss,vinny guadagnino show crazy ab tan new keto diet after pic
N49363,sports,football_nfl,report brown grievance raider hindered text message
N20620,lifestyle,lifestyledidyouknow,mall looked like back s
N47287,news,newsus,atlantic city transfer power amid corruption yet
N39535,news,newsworld,today history november
N21243,weather,weathertopstories,maria fire broke minute utility company re energized high voltage power line
N38578,finance,finance-billstopay,millennials changing banking
N47123,travel,traveltripideas,always summer secret island
N12638,weather,weathertopstories,rain bring flood part western washington
N54623,news,newsbusiness,microsoft top estimate azure report jump revenue
N42227,lifestyle,lifestyleroyals,queen elizabeth favorite beauty product stood test time
N43966,news,newsus,michael douglas share catherine zeta jones first time grandparent nickname
N49375,health,nutrition,lemon water healthy
N58574,health,voices,scored dream job fashion accident hampton changed everything
N6950,health,nutrition,overate dinner started simple thing sunday it take minute
N7716,lifestyle,lifestyleroyals,prince george princess charlotte know royal role
N32749,travel,travelarticle,houstonian and boondock saint sean patrick flanery come home fandemic
N44066,news,newsus,modern family plus sperm donor sibling find
N6191,finance,finance-real-estate,home price rise slow pace second straight month
N56558,news,newsworld,clashing protestors get heated confederate memorial
N42524,autos,autosmotorcycles,ducati multistrada grand tour ready anything
N43138,health,weightloss,former football player dropped pound maintaining muscle
N41257,finance,finance-companies,secret world richest company time
N7403,news,newscrime,man taken custody swat situation large milton home
N61727,autos,autosresearchguides,treat yourself car worth splurge
N19103,autos,autosenthusiasts,cooling mighty big block chevy easier think
N39843,sports,golf,matsuyama tie third skin tune up day t
N48320,sports,football_nfl_videos,denver bronco quarterback joe flacco voice frustration loss colt
N40684,news,newsopinion,libertarianism make people susceptible huge government
N22256,lifestyle,lifestylebuzz,toy r u almost back immersive play experience
N25041,foodanddrink,foodnews,taste test top store bought chocolate chip cooky ranked
N8182,news,newsus,lori loughlin face moment truth college admission scandal daughter exit usc
N60933,lifestyle,lifestyleroyals,meghan markle always stand exact way event specific reason
N2955,entertainment,entertainment-celebrity,celebs who ve kicked plane sparked airport drama
N3870,news,newsus,year old killed suspected duo crash placer county chp say
N29893,news,newspolitics,trump scrap plan host g doral golf resort
N63734,news,newsus,kansa city woman us personal journey help victim sex trafficking
N52528,news,newsopinion,time united state wage war mexican drug cartel
N59449,autos,autosenthusiasts,abandoned subaru dealer add car including audi
N12188,news,newsgoodnews,school bus driver encourages rider stay positive
N18753,finance,markets,world economy sliding first recession since
N45174,lifestyle,advice,ask salty waitress cashier texting instead ringing order
N34240,sports,football_nfl,patriot cut qb cody kessler flurry roster move
N4303,tv,tvnews,blacklisted kathy griffin say regret lookalike severed trump head
N34233,news,factcheck,biden say opposed iraq war effort immediately despite multiple public remark supporting
N543,music,musicnews,man blue sheriff donates johnny cash deputy photo
N29745,autos,autossuvs,hyundai tucson spied le camo reveal new front fascia
N42994,finance,finance-companies,amazon shipping expired baby formula beef jerky putting big brand risk
N57131,lifestyle,lifestylebuzz,newlywed look horror table holding three tier wedding cake collapse creation topples floor
N28535,sports,more_sports,watch michael porter jr post another strong performance
N44238,finance,finance-savemoney,sale tactic trick spending
N62150,finance,financenews,non religious motif propel home schooling boom western north carolina
N12612,video,viral,funny viral video show embarrassing dad running next daughter train head college
N59291,sports,football_ncaa,dantonio scoff dumb question michigan state offensive staff
N32227,travel,travelarticle,move washington d c
N34645,autos,autossuvs,best suv lease deal october
N51027,sports,more_sports,chief final injury report v bronco sammy watkins ruled out bashaud breeland questionable
N24866,news,newsus,migrant caravan miss home prays sent back
N19552,sports,baseball_mlb,year ago astros insane game dodger world series
N18760,health,wellness,healthy habit fit people live
N18819,travel,traveltripideas,old saybrook katharine hepburn paradise art nature
N13225,travel,traveltripideas,reason destin great family vacation destination
N24427,autos,autosnews,land rover defender caught making final ring round
N60739,foodanddrink,tipsandtricks,chef reveal unexpected item taste better refrigerated
N24132,entertainment,gaming,pc gaming moment wowed u last year
N52800,sports,basketball_nba,blazer coach terry stotts back daryl morey hong kong tweet
N49981,sports,football_nfl_videos,not miss play marquez valdes scantling torch raider yard td catch run
N7748,sports,football_nfl,bengal notebook cordy glenn return carlos dunlap day day
N46662,sports,football_nfl,nfl cheerleader
N39718,autos,autosenthusiasts,engine johnny tran s really worth
N58637,autos,autosbuying,best car deal october
N7368,sports,football_nfl,vince young marcus mariota when get starting position back give back
N54624,weather,weathertopstories,kincade fire latest sonoma county wildfire
N62418,autos,autosnews,best free pc optimization software speed pc quickly easily
N29621,autos,autosenthusiasts,ferrari f spider look right home high end london dealer
N61483,lifestyle,lifestyleparenting,photo show really like grow trans
N4295,foodanddrink,tipsandtricks,secret waiter trick diner never notice
N20148,sports,soccer,goal fan tv korea draw blacked out world cup qualifier
N64278,sports,basketball_ncaa,kentucky basketball worried ej montgomery preseason play
N43092,health,health-news,year old woman give birth day finding pregnant
N7180,news,newscrime,police investigating deadly shooting west side
N58210,sports,football_nfl,question sunday loss win come cincinnati bengal
N20588,lifestyle,lifestylehoroscope,toxic personality trait based myers briggs type
N59137,sports,football_nfl,panther mario addison miss game mourning brother death
N41212,video,viral,diver defends attack great white shark
N40642,foodanddrink,tipsandtricks,pasta water rachael swears ingredient
N58730,foodanddrink,restaurantsandnews,best taco texas hill country sleepy road outside san antonio
N64130,sports,outdoors,gun browning x bolt max long range
N21526,travel,traveltripideas,hotel incredible design get personal bird is eye view
N54783,autos,autosnews,semi truck driver swerve miss deer crashed i
